airtable_table,airtable_field_name,airtable_field_type,canonical_key,compatibility_alias_keys,my_operator_section,ui_label,frontend_input_key,payload_key,writer_mapping,readback_prefill_key,displayed_in_operator_explorer,used_in_alignment_snapshot,used_in_alignment_score_breakdown,used_in_capability_snapshot,system_derived,legacy_compatibility_only,currently_missing_from_form,recommended_form_treatment,priority
"Operator Setup - Governance, Delivery & Diligence",lead_narrative_model,multilineText,lead_narrative_model,,,,lead_narrative_model,lead_narrative_model,"Operator Setup - Governance, Delivery & Diligence.lead_narrative_model <= lead_narrative_model",lead_narrative_model,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",lead_narrative_regional,multilineText,lead_narrative_regional,,,,lead_narrative_regional,lead_narrative_regional,"Operator Setup - Governance, Delivery & Diligence.lead_narrative_regional <= lead_narrative_regional",lead_narrative_regional,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",lead_narrative_resilience,multilineText,lead_narrative_resilience,,,,lead_narrative_resilience,lead_narrative_resilience,"Operator Setup - Governance, Delivery & Diligence.lead_narrative_resilience <= lead_narrative_resilience",lead_narrative_resilience,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",lead_signal_crossbrand,singleSelect,lead_signal_crossbrand,,Leadership / Leadership Snapshot (KPIs),lead_signal_crossbrand,lead_signal_crossbrand,lead_signal_crossbrand,"Operator Setup - Governance, Delivery & Diligence.lead_signal_crossbrand <= lead_signal_crossbrand",lead_signal_crossbrand,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",lead_signal_density,singleSelect,lead_signal_density,,,,lead_signal_density,lead_signal_density,"Operator Setup - Governance, Delivery & Diligence.lead_signal_density <= lead_signal_density",lead_signal_density,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",lead_signal_succession,singleLineText,lead_signal_succession,,,,lead_signal_succession,lead_signal_succession,"Operator Setup - Governance, Delivery & Diligence.lead_signal_succession <= lead_signal_succession",lead_signal_succession,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",lead_signal_tenure,singleLineText,lead_signal_tenure,,Leadership / Leadership Snapshot (KPIs),lead_signal_tenure,lead_signal_tenure,lead_signal_tenure,"Operator Setup - Governance, Delivery & Diligence.lead_signal_tenure <= lead_signal_tenure",lead_signal_tenure,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",mkt_signal_fte,singleLineText,mkt_signal_fte,,,,mkt_signal_fte,mkt_signal_fte,"Operator Setup - Governance, Delivery & Diligence.mkt_signal_fte <= mkt_signal_fte",mkt_signal_fte,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",mobileCheckin,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",Offered Services,multipleSelects,offeredServices,,Operating Platform / Commercial Engine (pillar tiles),offeredServices,offeredServices,offeredServices,"Operator Setup - Governance, Delivery & Diligence.Offered Services <= offeredServices",offeredServices,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Deferred/capture later,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",Operator,multipleRecordLinks,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,No,No,Hidden/system-only,Do not expose
"Operator Setup - Governance, Delivery & Diligence",operator_materials_gallery_json,multilineText,operator_materials_gallery_json,,,,operator_materials_gallery_json,operator_materials_gallery_json,"Operator Setup - Governance, Delivery & Diligence.operator_materials_gallery_json <= operator_materials_gallery_json",operator_materials_gallery_json,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,Yes,No,Legacy compatibility only,Do not expose
"Operator Setup - Governance, Delivery & Diligence",operator_materials_json,multilineText,operator_materials_json,,,,operator_materials_json,operator_materials_json,"Operator Setup - Governance, Delivery & Diligence.operator_materials_json <= operator_materials_json",operator_materials_json,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,Yes,No,Legacy compatibility only,Do not expose
"Operator Setup - Governance, Delivery & Diligence",Owner Reporting Level,singleSelect,ownerReportingLevel,,Operating Platform / Operating Platform (KPI snapshot),ownerReportingLevel,ownerReportingLevel,ownerReportingLevel,"Operator Setup - Governance, Delivery & Diligence.Owner Reporting Level <= ownerReportingLevel",ownerReportingLevel,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Deferred/capture later,P0 required for Operator Setup completeness
"Operator Setup - Governance, Delivery & Diligence",ownerPortal,singleSelect,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
"Operator Setup - Governance, Delivery & Diligence",preferredContactMethod,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",primaryPMS,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",Procurement Services,multipleSelects,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
"Operator Setup - Governance, Delivery & Diligence",Procurement Services Other,singleLineText,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",regionalTeams,number,,,,,,,Yes,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
"Operator Setup - Governance, Delivery & Diligence",Revenue Management Capability,singleSelect,revenueManagementCapability,,Operating Platform / Operating Platform (KPI snapshot),revenueManagementCapability,revenueManagementCapability,revenueManagementCapability,"Operator Setup - Governance, Delivery & Diligence.Revenue Management Capability <= revenueManagementCapability",revenueManagementCapability,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Deferred/capture later,P0 required for Operator Setup completeness
"Operator Setup - Governance, Delivery & Diligence",Revenue Management Other,multilineText,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",Revenue Management Services,multipleSelects,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
"Operator Setup - Governance, Delivery & Diligence",revenueManagementSystem,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
"Operator Setup - Governance, Delivery & Diligence",risk_programs_narrative,multilineText,risk_programs_narrative,,,,risk_programs_narrative,risk_programs_narrative,"Operator Setup - Governance, Delivery & Diligence.risk_programs_narrative <= risk_programs_narrative",risk_programs_narrative,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",risk_signal_audit,singleSelect,risk_signal_audit,,Infrastructure & Data / Infrastructure & Data (KPI snapshot),risk_signal_audit,risk_signal_audit,risk_signal_audit,"Operator Setup - Governance, Delivery & Diligence.risk_signal_audit <= risk_signal_audit",risk_signal_audit,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",risk_signal_bcp,singleSelect,risk_signal_bcp,,Infrastructure & Data / Infrastructure & Data (KPI snapshot),risk_signal_bcp,risk_signal_bcp,risk_signal_bcp,"Operator Setup - Governance, Delivery & Diligence.risk_signal_bcp <= risk_signal_bcp",risk_signal_bcp,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",risk_signal_control,singleSelect,risk_signal_control,,Infrastructure & Data / Infrastructure & Data (KPI snapshot),risk_signal_control,risk_signal_control,risk_signal_control,"Operator Setup - Governance, Delivery & Diligence.risk_signal_control <= risk_signal_control",risk_signal_control,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",risk_signal_insurance,singleSelect,risk_signal_insurance,,Infrastructure & Data / Infrastructure & Data (KPI snapshot),risk_signal_insurance,risk_signal_insurance,risk_signal_insurance,"Operator Setup - Governance, Delivery & Diligence.risk_signal_insurance <= risk_signal_insurance",risk_signal_insurance,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",Sales Marketing Other,multilineText,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",Sales Marketing Support,multipleSelects,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",Sales Platform,multipleSelects,salesPlatform,,,,salesPlatform,salesPlatform,"Operator Setup - Governance, Delivery & Diligence.Sales Platform <= salesPlatform",salesPlatform,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Deferred/capture later,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",serviceDifferentiators,multilineText,,,,,,,Yes,,No/Unclear,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
"Operator Setup - Governance, Delivery & Diligence",systems_inventory_lines,multilineText,systems_inventory_lines,,,,systems_inventory_lines,systems_inventory_lines,"Operator Setup - Governance, Delivery & Diligence.systems_inventory_lines <= systems_inventory_lines",systems_inventory_lines,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",Technology Services Other,multilineText,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",totalEmployees,number,,,,,,,Yes,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
"Operator Setup - Governance, Delivery & Diligence",tr_signal_adr,singleSelect,tr_signal_adr,,Proof & Track Record / Decision Signals,tr_signal_adr,tr_signal_adr,tr_signal_adr,"Operator Setup - Governance, Delivery & Diligence.tr_signal_adr <= tr_signal_adr",tr_signal_adr,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",tr_signal_occ,singleSelect,tr_signal_occ,,Proof & Track Record / Decision Signals,tr_signal_occ,tr_signal_occ,tr_signal_occ,"Operator Setup - Governance, Delivery & Diligence.tr_signal_occ <= tr_signal_occ",tr_signal_occ,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",tr_signal_repeat,singleSelect,tr_signal_repeat,,Proof & Track Record / Decision Signals,tr_signal_repeat,tr_signal_repeat,tr_signal_repeat,"Operator Setup - Governance, Delivery & Diligence.tr_signal_repeat <= tr_signal_repeat",tr_signal_repeat,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
"Operator Setup - Governance, Delivery & Diligence",tr_signal_revpar,singleSelect,tr_signal_revpar,,Proof & Track Record / Decision Signals,tr_signal_revpar,tr_signal_revpar,tr_signal_revpar,"Operator Setup - Governance, Delivery & Diligence.tr_signal_revpar <= tr_signal_revpar",tr_signal_revpar,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Leadership Team Members,bio,multilineText,,,,,,,No/Unclear,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Leadership Team Members,company_tenure_years,number,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Leadership Team Members,core_expertise,multipleSelects,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Leadership Team Members,display_order,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Leadership Team Members,headshot,multipleAttachments,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Leadership Team Members,hospitality_experience_years,number,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Leadership Team Members,languages,multipleSelects,,,,,,,No/Unclear,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Leadership Team Members,market_experience,multipleSelects,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Leadership Team Members,name,singleLineText,,,,,,,Yes,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Leadership Team Members,Operator,multipleRecordLinks,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,No,No,Hidden/system-only,Do not expose
Operator Setup - Leadership Team Members,prior_background,singleLineText,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Leadership Team Members,relevant_asset_types,multipleSelects,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Leadership Team Members,role,singleLineText,,,,,,,No/Unclear,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Leadership Team Members,summary,multilineText,,,,,,,No/Unclear,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Leadership Team Members,title,singleLineText,,,,,,,No/Unclear,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Master,company_name,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Master,created_at,createdTime,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No,No,Hidden/system-only,Do not expose
Operator Setup - Master,Data Confidence Level,singleSelect,,,,,,,Yes,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Master,Explorer Hero Data Source,singleLineText,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Master,Explorer Hero Verification,singleLineText,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Master,Last Updated Date,date,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Master,Operator Deal Requests,multipleRecordLinks,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Master,Operator Setup - Case Studies,multipleRecordLinks,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No,No,Hidden/system-only,Do not expose
Operator Setup - Master,Operator Setup - Commercial Fit & Terms,multipleRecordLinks,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No,No,Hidden/system-only,Do not expose
Operator Setup - Master,Operator Setup - Diligence QA,multipleRecordLinks,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No,No,Hidden/system-only,Do not expose
Operator Setup - Master,Operator Setup - Explorer Materials,multipleRecordLinks,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No,No,Hidden/system-only,Do not expose
Operator Setup - Master,"Operator Setup - Governance, Delivery & Diligence",multipleRecordLinks,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No,No,Hidden/system-only,Do not expose
Operator Setup - Master,Operator Setup - Leadership Team Members,multipleRecordLinks,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No,No,Hidden/system-only,Do not expose
Operator Setup - Master,Operator Setup - Platform & Markets,multipleRecordLinks,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No,No,Hidden/system-only,Do not expose
Operator Setup - Master,Operator Setup - Profile & Positioning,multipleRecordLinks,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No,No,Hidden/system-only,Do not expose
Operator Setup - Master,operator_id,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No,No,Hidden/system-only,Do not expose
Operator Setup - Master,Source Type,multipleSelects,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Master,submission_status,singleSelect,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,No,No,Hidden/system-only,Do not expose
Operator Setup - Master,updated_at,lastModifiedTime,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No,No,Hidden/system-only,Do not expose
Operator Setup - Master,Users,multipleRecordLinks,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Platform & Markets,Active Countries,multipleSelects,activeCountries,Active Countries,Markets & Footprint / Markets & Footprint (KPI snapshot),activeCountries,activeCountries,activeCountries,Operator Setup - Platform & Markets.Active Countries <= activeCountries,activeCountries,No/Unclear,No/Unclear,Yes,No/Unclear,No,No,Yes,Deferred/capture later,P0 required for Operator Setup completeness
Operator Setup - Platform & Markets,Active Markets / Cities,multipleSelects,activeMarkets,"Active Markets / Cities, active_markets",Markets & Footprint / Markets & Footprint (KPI snapshot),activeMarkets,activeMarkets,activeMarkets,Operator Setup - Platform & Markets.Active Markets / Cities <= activeMarkets,activeMarkets,No/Unclear,No/Unclear,Yes,No/Unclear,No,No,Yes,Deferred/capture later,P0 required for Operator Setup completeness
Operator Setup - Platform & Markets,Brands Portfolio Detail,multilineText,brandsPortfolioDetail,,,,brandsPortfolioDetail,brandsPortfolioDetail,Operator Setup - Platform & Markets.Brands Portfolio Detail <= brandsPortfolioDetail,brandsPortfolioDetail,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Editable input,P2 later cleanup
Operator Setup - Platform & Markets,cap_card_asset_positioning,multilineText,cap_card_asset_positioning,,,,cap_card_asset_positioning,cap_card_asset_positioning,Operator Setup - Platform & Markets.cap_card_asset_positioning <= cap_card_asset_positioning,cap_card_asset_positioning,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Platform & Markets,cap_card_execution_rel,multilineText,cap_card_execution_rel,,,,cap_card_execution_rel,cap_card_execution_rel,Operator Setup - Platform & Markets.cap_card_execution_rel <= cap_card_execution_rel,cap_card_execution_rel,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Platform & Markets,cap_card_governance,multilineText,cap_card_governance,,Operating Platform / Owner Reporting & Communication,cap_card_governance,cap_card_governance,cap_card_governance,Operator Setup - Platform & Markets.cap_card_governance <= cap_card_governance,cap_card_governance,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Platform & Markets,cap_card_service_diff,multilineText,cap_card_service_diff,,"Operating Platform / F&B, Lifestyle & Resort Capability",cap_card_service_diff,cap_card_service_diff,cap_card_service_diff,Operator Setup - Platform & Markets.cap_card_service_diff <= cap_card_service_diff,cap_card_service_diff,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Platform & Markets,cap_deep_execution_infra,multilineText,cap_deep_execution_infra,,,,cap_deep_execution_infra,cap_deep_execution_infra,Operator Setup - Platform & Markets.cap_deep_execution_infra <= cap_deep_execution_infra,cap_deep_execution_infra,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Platform & Markets,cap_deep_revenue_systems,multilineText,cap_deep_revenue_systems,,Operating Platform / Conversion & Repositioning,cap_deep_revenue_systems,cap_deep_revenue_systems,cap_deep_revenue_systems,Operator Setup - Platform & Markets.cap_deep_revenue_systems <= cap_deep_revenue_systems,cap_deep_revenue_systems,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Platform & Markets,cap_kpi_execution_strength,singleSelect,cap_kpi_execution_strength,,,,cap_kpi_execution_strength,cap_kpi_execution_strength,Operator Setup - Platform & Markets.cap_kpi_execution_strength <= cap_kpi_execution_strength,cap_kpi_execution_strength,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Platform & Markets,cap_kpi_operating_model,singleSelect,cap_kpi_operating_model,,,,cap_kpi_operating_model,cap_kpi_operating_model,Operator Setup - Platform & Markets.cap_kpi_operating_model <= cap_kpi_operating_model,cap_kpi_operating_model,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Platform & Markets,cap_kpi_reporting,singleSelect,cap_kpi_reporting,,Operating Platform / Operating Platform (KPI snapshot),cap_kpi_reporting,cap_kpi_reporting,cap_kpi_reporting,Operator Setup - Platform & Markets.cap_kpi_reporting <= cap_kpi_reporting,cap_kpi_reporting,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Platform & Markets,cap_kpi_transition,singleSelect,cap_kpi_transition,,Operating Platform / Operating Platform (KPI snapshot),cap_kpi_transition,cap_kpi_transition,cap_kpi_transition,Operator Setup - Platform & Markets.cap_kpi_transition <= cap_kpi_transition,cap_kpi_transition,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Platform & Markets,cap_profile_commercial,multilineText,cap_profile_commercial,,Operating Platform / Commercial Engine (pillar tiles),cap_profile_commercial,cap_profile_commercial,cap_profile_commercial,Operator Setup - Platform & Markets.cap_profile_commercial <= cap_profile_commercial,cap_profile_commercial,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Platform & Markets,cap_profile_operational,multilineText,cap_profile_operational,,,,cap_profile_operational,cap_profile_operational,Operator Setup - Platform & Markets.cap_profile_operational <= cap_profile_operational,cap_profile_operational,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Platform & Markets,cap_profile_transition,multilineText,cap_profile_transition,,Operating Platform / Pre-Opening & Transition Support,cap_profile_transition,cap_profile_transition,cap_profile_transition,Operator Setup - Platform & Markets.cap_profile_transition <= cap_profile_transition,cap_profile_transition,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Platform & Markets,cap_signal_budget,singleSelect,cap_signal_budget,,,,cap_signal_budget,cap_signal_budget,Operator Setup - Platform & Markets.cap_signal_budget <= cap_signal_budget,cap_signal_budget,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Platform & Markets,cap_signal_lift,singleSelect,cap_signal_lift,,,,cap_signal_lift,cap_signal_lift,Operator Setup - Platform & Markets.cap_signal_lift <= cap_signal_lift,cap_signal_lift,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Platform & Markets,cap_signal_trans,singleSelect,cap_signal_trans,,,,cap_signal_trans,cap_signal_trans,Operator Setup - Platform & Markets.cap_signal_trans <= cap_signal_trans,cap_signal_trans,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Platform & Markets,chainScale,singleLineText,chainScale,,,,chainScale,chainScale,Operator Setup - Platform & Markets.chainScale <= chainScale,chainScale,Yes,No/Unclear,Yes,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Platform & Markets,company_name,singleLineText,companyName,"company_name, Company Name",,,companyName,companyName,Operator Setup - Platform & Markets.company_name <= companyName,companyName,No/Unclear,No/Unclear,Yes,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Platform & Markets,conversionExperience,number,,,,,,,Yes,,No/Unclear,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Platform & Markets,economyAvgStaff,number,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Platform & Markets,economyExistingProperties,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Platform & Markets,economyExistingRooms,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Platform & Markets,economyPipelineProperties,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Platform & Markets,economyPipelineRooms,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Platform & Markets,economyProperties,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Platform & Markets,economyRooms,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Platform & Markets,exitsDeflaggings,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Platform & Markets,geo_apac_existing_hotels,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Platform & Markets,geo_apac_existing_rooms,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Platform & Markets,geo_apac_pipeline_hotels,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
